香草[香草]	xiang1cao3	noun vanilla 香草冰激凌 xiāngcǎo bīngjilíng vanilla ice cream
酥[酥]	su1	noun 1 shortbread 杏仁酥 xìngrén sū almond shortbread 2 archaic VARIANT OF 30903296酥油su1you2酥油 butter  adjective 1 crisp; short 酥饼 sūbǐng flaky pastry 酥糖 sūtáng crunchy candy; crisp sweets 2 (of a person's limbs) limp; weak; soft
胗[胗]	zhen1	noun gizzard 鸡胗儿 Jī zhēnr chicken’s gizzard
贡丸[貢丸]	gong4wan2	pork ball
蒟[蒟]	ju3	noun betel pepper
芋头[芋頭]	yu4tou5	noun 1 taro 2 dialect sweet potato
阴平[陰平]	yin1ping2	noun linguistics high and level tone (the first of the four tones in modern standard Chinese pronunciation) See 30835456四声si4sheng1四声
去声[去聲]	qu4sheng1	noun 1 falling tone (third of the four tones in classical Chinese pronunciation) 2 falling tone (fourth of the four tones in modern standard Chinese pronunciation) See 30835456四声si4sheng1四声
死对头[死對頭]	si3dui4tou5	noun merciless and deadly enemy; sworn enemy; irreconcilable opponent
轰[揈]	hong1	verb shoo away; drive off 轰麻雀 hōng máquè shoo away the sparrows 轰下台 hōng xiàtái hoot sb. off the platform; oust sb. from office (or power) 把他轰出去。 Bǎ tā hōng chūqu. Throw him out.
济南[濟南]	Ji3nan2	Jinan (capital of Shandong Province)
盛情难却[盛情難卻]	sheng4qing2-nan2que4	idiom It would be ungracious not to accept your kindness.
峇里[峇里]	Ba1li3	Bali (island province of Indonesia)
奶瓶[奶瓶]	nai3ping2	noun feeding (or nursing) bottle; (baby's) bottle
束修[束修]	shu4xiu1	payment for private tutor
姬妾[姬妾]	ji1qie4	concubines
荨麻疹[蕁麻疹]	xun2ma2zhen3	(qiánmázhěn 〈旧〉) noun medicine nettle rash; urticaria
月老[月老]	yue4lao3	noun 1 Old Man of the Moon (god of marriage) 2 matchmaker; go-between
前奏[前奏]	qian2zou4	noun 1 VARIANT OF 28352768前奏曲qian2zou4qu3前奏曲 music prelude 2 prelude 德国入侵波兰是第二次世界大战的前奏。 Déguó rùqīn Bōlán shì dì-èr cì shìjiè dàzhàn de qiánzòu. The German invasion of Poland was a prelude to World War II.
前来[前來]	qian2lai2	verb usually literary come 今天他举行婚礼, 许多同事前来贺喜。 Jīntiān tā jǔxíng hūnlǐ, xǔduō tóngshì qiánlái hèxǐ. Today is his wedding day and many of his colleagues came to congratulate him.
不克[不克]	bu4ke4	verb literary 1 unable to; cannot 不克胜任 Bù kè shèngrèn unequal to the job; not up to the job 2 fail to capture 屡攻不克 lǚ gōng bùkè repeated unsuccessful attacks
敬请[敬請]	jing4qing3	verb polite expression invite respectfully 敬请斧正。 Jìngqǐng fǔzhèng. Would you be kind enough to correct my poor work? 敬请光临。 Jìngqǐng guānglín. Your presence is cordially requested. 敬请指教。 Jìngqǐngzhǐjiào. Kindly give me your advice.
凑热闹[湊熱鬧]	cou4//re4nao5	verb colloquial 1 join in the fun 2 add trouble to 我们够忙的, 别再来凑热闹了。 Wǒmen gòu máng de, bié zài lái còu rènao le. We’re busy enough as it is, don’t give us more trouble.
收尾[收尾]	shou1wei3	verb (-//-) bring to a conclusion; wind up 我们正在做收尾工作。 Wǒmen zhèngzài zuò shōuwěi gōngzuò. We are winding up the job. or We are in the last stages of the job. 你的文章可以用一句格言收尾。 Nǐ de wénzhāng kěyǐ yòng yī jù géyán shōuwěi. Try to wind up your essay with an aphorism.  noun ending (of an article, etc.) 这个剧本收尾太平淡。 zhège jùběn shōuwěi tàipíng dàn. The ending of the play is flat.
实务[實務]	shi2wu4	1 practice (customary action, as opposed to theory) 2 practical
多愁善感[多愁善感]	duo1chou2-shan4gan3	idiom sentimental and susceptible; overly sentimental; weak and emotional
矽谷[矽谷]	Xi1gu3	Silicon Valley
硒[硒]	xi1	noun chemistry selenium (Se)
我司[我司]	wo3si1	our company (polite)
晶片[晶片]	jing1pian4	noun electronics wafer
唱片[唱片]	chang4pian4	noun phonograph (or gramophone) record; disc 放唱片 fàng chàngpiàn play a phonograph record 灌唱片 guàn chàngpiàn cut a disc (or CD) 白金唱片 báijīn chàngpiàn platinum record 激光唱片 jīguāng chàngpiàn laser disc 密纹唱片 mìwén chàngpiàn compact disc
御玺[御璽]	yu4xi3	noun imperial seal; (UK) privy seal
钛[鈦]	tai4	noun chemistry titanium (Ti)
甜不辣[甜不辣]	tian2bu4la4	1 tempura 2 deep-fried cooking 3 also called 甜不辣tiánbùlà [甜不辣]
三八[三八]	san1ba1	adjective dialect vulgar [usu. said of a woman] flighty; batty; foolish 她这人真三八！ tā zhè rén zhēn sānbā! What a flighty person she is!  noun March 8
垒球[壘球]	lei3qiu2	noun sports softball 打垒球 dǎ lěiqiú play softball
参展[參展]	can1//zhan3	verb participate in an exhibition
包在我身上[包在我身上]	bao1zai4wo3shen1shang5	1 leave it to me (idiom) 2 I'll take care of it
打卡[打卡]	da3//ka3	verb clock; punch a card 上下班打卡 Shàngxiàbān dǎkǎ clock (or punch) in and out
坊[坊]	fang1	noun 1 lane [usu. in street or lane names] 白纸坊 báizhǐ fāng White Paper Lane (a street in Beijing) 2 shop 茶坊 cháfāng teahouse 3 memorial archway See 27572736牌坊pai2fang5牌坊
费心[費心]	fei4//xin1	verb 1 give a lot of care; take a lot of trouble 她为这些孩子可费了不少心。 Tā wèi zhèxiē háizi kě fèi le bùshǎo xīn. She devoted a lot of care to these children. 2 polite expression [making a request or giving thanks] may I trouble you (to do sth.); would you mind (doing sth.) 您见到他时, 费心把这封信交给他。 Nín jiàndào tā shí, fèixīn bǎ zhè fēng xìn jiāogěi tā. Will you be so kind as to give him this letter when you see him? 您帮了我们大忙, 费心了！ Nín bāng le wǒmen dàmáng, fèixīn le! You’ve helped us a lot. Thank you very much for taking all that trouble.
劳烦[勞煩]	lao2fan2	verb dialect polite expression may I…; trouble; please 劳烦您关上门。 láofán nín guān shàngmén. Do you mind shutting the door?
莅[蒞]	li4	verb literary courteous arrive; be present 莅场 Lìchǎng be present on the occasion 莅任 lìrèn (of officials) assume one’s office; arrive at the post 莅席 lì xí be present at a banquet
榭[榭]	xie4	noun pavilion or house on a terrace 水榭 shuǐxiè waterside pavilion
标竿[標竿]	biao1gan1	1 benchmark 2 pole serving as mark or symbol 3 pole with a trophy hung on it
王室[王室]	wang2shi4	noun 1 royal family 2 imperial (or royal) court
视讯[視訊]	shi4xun4	video (Tw)
骇客[駭客]	hai4ke4	noun hacker
笔友[筆友]	bi3you3	noun penfriend; pen pal
裹脚[裹腳]	guo3//jiao3	verb dated (of girls) bind one's feet; foot-binding
读心术[讀心術]	du2xin1shu4	mind reading (in psychology or Western magic)
樊[樊]	Fan2	surname Fan
千秋[千秋]	qian1qiu1	noun 1 a thousand years; centuries 2 courteous birthday (other than one's own)
别有[別有]	bie2you3	1 to have other... 2 to have a special ...
秋千[鞦韆]	qiu1qian1	swing (seat hung from a frame or branch)
轻佻[輕佻]	qing1tiao1	adjective frivolous; flippant; giddy 举止轻佻 Jǔzhǐ qīngtiāo flippant (or skittish) behaviour
鞋垫[鞋墊]	xie2dian4	noun shoe-pad; insole
倚天屠龙记[倚天屠龍記]	Yi3tian1 Tu2long2 Ji4	Heaven Sword and Dragon Saber, wuxia (武侠wǔxiá [武侠], martial arts chivalry) novel by Jin Yong 金庸 Jīn Yōng [金庸] and its screen adaptations
次长[次長]	ci4zhang3	noun vice-minister
球员[球員]	qiu2yuan2	noun player
鲷[鯛]	diao1	noun ichthyology porgy
